Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	516	1362.88	568.746	
	517	1362.88	568.746	
	518	1362.88	568.742	
	519	1362.88	568.742	
	520	1362.88	568.742	
	521	1362.88	568.742	
	522	1362.88	568.742	
	523	1362.88	568.746	
	524	1362.88	568.746	
	525	1362.88	568.746	
	526	1362.88	568.746	
	527	1362.88	568.746	
	528	1362.88	568.746	
	529	1362.88	568.746	
	530	1362.88	568.746	
	531	1362.88	568.746	
	532	1362.88	568.746	
	533	1362.88	568.746	
	534	1362.88	568.746	
	535	1362.88	568.746	
	536	1362.88	568.746	
	537	1362.89	568.746	
	538	1362.89	568.746	
	539	1362.89	568.746	
	540	1362.88	568.75	
	541	1362.88	568.75	
	542	1362.86	569.137	
	543	1362.76	569.184	
	544	1362.38	569.168	
	545	1362.29	569.172	
	546	1362.2	569.18	
	547	1362.09	569.18	
	548	1361.99	569.172	
	549	1361.91	569.164	
	550	1361.82	569.145	
	551	1361.73	569.105	
	552	1361.66	569.07	
	553	1361.61	569.035	
	554	1361.54	568.93	
	555	1361.55	568.887	
	556	1361.54	568.828	
	557	1361.51	568.73	
	558	1361.44	568.613	
	559	1361.35	568.461	
	560	1361.25	568.305	
	561	1361.19	568.16	
	562	1361.17	568.039	
	563	1361.14	567.82	
	564	1361.11	567.66	
	565	1361.09	567.473	
	566	1361.02	567.25	
	567	1361	567.117	
	568	1360.93	566.73	
	569	1360.92	566.547	
	570	1360.8	566.391	
	571	1360.8	566.094	
	572	1360.75	565.836	
	573	1360.73	565.492	
	574	1360.73	565.219	
	575	1360.68	564.883	
	576	1360.63	564.984	
	577	1360.56	565.094	
	578	1360.46	565.219	
	579	1360.32	565.332	
	580	1360.15	565.43	
	581	1360	565.488	
	582	1359.91	565.563	
	583	1359.88	565.746	
	584	1359.84	565.824	
	585	1359.73	565.926	
	586	1359.69	566.031	
	587	1359.65	566.148	
	588	1359.57	566.262	
	589	1359.45	566.371	
	590	1359.29	566.453	
	591	1359.12	566.512	
	592	1359	566.609	
	593	1358.91	566.77	
	594	1358.85	566.855	
	595	1358.76	566.965	
	596	1358.7	567.066	
	597	1358.67	567.176	
	598	1358.6	567.285	
	599	1358.46	567.387	
	600	1359	567.523	
	601	1359.84	567.793	
	602	1360.55	567.977	
	603	1361.06	568.211	
	604	1361.81	568.395	
	605	1362.65	568.523	
	606	1363.32	568.773	
	607	1363.94	568.984	
	608	1364.72	569.199	
	609	1365.52	569.398	
	610	1366.03	569.539	
	611	1366.88	569.816	
	612	1367.58	569.992	
	613	1368.08	570.207	
	614	1368.84	570.379	
	615	1369.58	570.527	
	616	1370.19	570.785	
	617	1370.86	571	
	618	1371.68	571.211	
	619	1372.4	571.398	
	620	1372.96	571.551	
	621	1373.7	571.848	
	622	1374.53	572.027	
	623	1375.06	572.234	
	624	1375.87	572.402	
	625	1376.62	572.555	
	626	1377.2	572.824	
	627	1377.89	573.066	
	628	1378.67	573.305	
	629	1379.37	573.508	
	630	1379.98	573.594	
	631	1380.67	573.863	
	632	1381.51	574.063	
	633	1382.05	574.309	
	634	1382.89	574.477	
	635	1383.59	574.789	
	636	1384.17	574.906	
	637	1384.88	575.082	
	638	1385.66	575.273	
	639	1386.27	575.5	
	640	1386.88	575.82	
	641	1387.61	575.93	
	642	1388.34	576.074	
	643	1388.86	576.242	
	644	1389.68	576.438	
	645	1390.46	576.559	
	646	1390.96	576.918	
	647	1391.71	577.059	
	648	1392.54	577.215	
	649	1393.09	577.457	
	650	1393.85	577.535	
	651	1394.55	577.918	
	652	1395.26	578.172	
	653	1395.75	578.434	
	654	1396.47	578.742	
	655	1397.36	578.934	
	656	1397.82	579.043	
	657	1398.51	579.18	
	658	1399.43	579.434	
	659	1400.03	579.781	
	660	1400.56	579.953	
	661	1401.41	580.059	
	662	1402.21	580.172	
	663	1402.67	580.449	
	664	1403.43	580.762	
	665	1404.3	580.957	
	666	1404.79	581.047	
	667	1405.49	581.188	
	668	1406.43	581.441	
	669	1406.93	581.809	
	670	1407.56	581.969	
	671	1408.39	582.082	
	672	1409.17	582.184	
	673	1409.67	582.473	
	674	1410.44	582.789	
	675	1411.27	582.98	
	676	1411.77	583.063	
	677	1412.52	583.211	
	678	1413.43	583.492	
	679	1413.93	583.848	
	680	1414.6	583.992	
	681	1416.33	585.012	
	682	1417.78	586.082	
	683	1419.55	587.098	
	684	1420.88	588.102	
	685	1422.5	589.102	
	686	1423.93	590.066	
	687	1425.61	591.09	
	688	1427.15	592.074	
	689	1428.65	593.09	
	690	1430.28	594.094	
	691	1431.69	595.102	
	692	1433.36	596.113	
	693	1434.8	597.113	
	694	1436.48	598.141	
	695	1437.88	599.145	
	696	1439.47	600.172	
	697	1441.02	601.145	
	698	1442.55	602.145	
	699	1444.2	603.195	
	700	1445.56	604.219	
	701	1447.3	605.227	
	702	1448.63	606.266	
	703	1450.36	607.277	
	704	1451.76	608.324	
	705	1453.45	609.355	
	706	1454.93	610.398	
	707	1456.54	611.418	
	708	1458.09	612.434	
	709	1459.6	613.445	
	710	1461.27	614.461	
	711	1462.69	615.484	
	712	1464.33	616.496	
	713	1465.76	617.516	
	714	1470.13	617.285	
	715	1474.52	616.727	
	716	1478.63	616.586	
	717	1482.96	616.445	
	718	1487.6	615.902	
	719	1491.7	615.641	
	720	1495.82	615.527	
	721	1500.09	615.387	
	722	1504.63	614.836	
	723	1508.71	614.59	
	724	1512.82	614.484	
	725	1517.15	614.234	
	726	1521.52	613.789	
	727	1525.59	613.578	
	728	1529.8	613.457	
	729	1534.24	613.133	
	730	1538.62	612.762	
	731	1542.86	612.516	
	732	1547.22	612.344	
	733	1551.71	611.898	
	734	1555.76	611.656	
	735	1559.93	611.48	
	736	1564.25	611.234	
	737	1568.66	610.871	
	738	1572.71	610.609	
	739	1576.93	610.449	
	740	1581.29	610.137	
	741	1585.62	609.82	
	742	1589.73	609.543	
	743	1594	609.379	
	744	1598.33	609.09	
	745	1602.59	608.789	
	746	1606.75	608.504	
	747	1611.16	608.277	
	748	1615.61	607.973	
	749	1619.76	607.676	
	750	1623.99	607.445	
	751	1628.56	607.184	
	752	1628.73	607.234	
	753	1628.95	607.289	
	754	1629.59	607.309	
	755	1629.74	607.363	
	756	1630.01	607.41	
	757	1630.62	607.418	
	758	1630.77	607.449	
	759	1631.05	607.469	
	760	1631.64	607.504	
	761	1631.78	607.551	
	762	1632.09	607.617	
	763	1632.66	607.672	
	764	1632.8	607.73	
	765	1633.12	607.801	
	766	1633.68	607.82	
	767	1633.81	607.844	
	768	1634.17	607.902	
	769	1634.68	607.926	
	770	1634.84	607.977	
	771	1635.24	608.02	
	772	1635.7	608.016	
	773	1635.88	608.09	
	774	1636.55	608.121	
	775	1636.71	608.184	
	776	1636.93	608.238	
	777	1637.57	608.27	
	778	1637.73	608.32	
	779	1637.98	608.371	
	780	1638.6	608.395	
	781	1638.75	608.43	
	782	1639.03	608.453	
	783	1639.63	608.461	
	784	1639.77	608.5	
	785	1640.08	608.543	
	786	1640.66	608.59	
	787	1640.79	608.645	
	788	1641.11	608.711	
	789	1641.67	608.75	
	790	1641.81	608.805	
	791	1642.14	608.863	
	792	1642.68	608.887	
	793	1642.83	608.945	
	794	1643.21	609	
	795	1643.7	609.004	
	796	1643.87	609.043	
	797	1644.55	609.074	
	798	1644.71	609.133	
	799	1644.92	609.195	
	800	1645.56	609.227	
	801	1645.73	609.273	
	802	1645.97	609.324	
	803	1646.59	609.348	
	804	1646.75	609.398	
	805	1647.01	609.434	
	806	1647.61	609.438	
	807	1647.77	609.465	
	808	1648.05	609.508	
	809	1648.63	609.547	
	810	1648.79	609.598	
	811	1649.09	609.672	
	812	1649.64	609.719	
	813	1649.8	609.77	
	814	1650.14	609.832	
	815	1650.69	609.848	
	816	1650.82	609.914	
	817	1651.23	609.953	
	818	1651.73	609.969	
	819	1651.87	610.02	
	820	1652.57	610.016	
	821	1652.74	610.121	
	822	1652.95	610.184	
	823	1653.61	610.211	
	824	1653.79	610.629	
	825	1654.25	611.203	
	826	1654.77	611.586	
	827	1655.07	612.191	
	828	1655.73	612.547	
	829	1655.89	613.156	
	830	1656.66	613.512	
	831	1656.78	614.109	
	832	1657.59	614.492	
	833	1657.76	614.996	
	834	1658.08	615.512	
	835	1658.72	615.969	
	836	1658.9	616.508	
	837	1659.66	616.93	
	838	1659.79	617.496	
	839	1660.57	617.852	
	840	1660.77	618.484	
	841	1661.08	618.84	
	842	1661.73	619.477	
	843	1661.89	619.781	
	844	1662.65	620.461	
	845	1662.79	620.715	
	846	1663.58	621.441	
	847	1663.77	621.664	
	848	1664.05	622.461	
	849	1664.71	622.633	
	850	1664.87	623.449	
	851	1665.64	623.602	
	852	1665.78	624.43	
	853	1665.88	624.918	
	854	1666.6	625.555	
	855	1666.73	625.91	
	856	1667.44	626.555	
	857	1667.66	626.902	
	858	1668.16	627.555	
	859	1668.64	627.895	
	860	1668.88	628.555	
	861	1669.59	628.871	
	862	1669.72	629.555	
	863	1670.45	629.848	
	864	1670.65	630.512	
	865	1671.17	630.836	
	866	1671.65	631.465	
	867	1671.89	631.84	
	868	1672.61	632.445	
	869	1672.73	632.84	
	870	1673.46	633.426	
	871	1673.66	633.844	
	872	1674.17	634.43	
	873	1674.64	634.844	
	874	1674.88	635.426	
	875	1675.59	635.824	
	876	1675.71	636.395	
	877	1676.44	636.805	
	878	1676.66	637.355	
	879	1677.17	637.789	
	880	1677.65	638.309	
	881	1677.9	638.789	
	882	1678.61	639.277	
	883	1678.74	639.789	
	884	1679.46	640.254	
	885	1679.68	640.789	
	886	1680.18	641.25	
	887	1680.64	641.785	
	888	1680.9	642.246	
	889	1681.6	642.758	
	890	1681.73	643.219	
	891	1682.45	643.727	
	892	1682.66	644.18	
	893	1683.18	644.711	
	894	1683.65	645.141	
	895	1683.91	645.715	
	896	1684.62	646.109	
	897	1684.74	646.715	
	898	1685.47	647.082	
	899	1685.68	647.715	
	900	1686.2	648.055	
	901	1686.67	648.707	
	902	1686.91	649.078	
	903	1683.57	649.008	
	904	1679.69	649.008	
	905	1676.15	648.961	
	906	1672.63	648.93	
	907	1668.74	648.926	
	908	1665.34	648.871	
	909	1661.67	648.875	
	910	1657.84	648.852	
	911	1654.48	648.816	
	912	1650.66	648.828	
	913	1647.01	648.766	
	914	1643.61	648.762	
	915	1639.74	648.738	
	916	1636.21	648.68	
	917	1632.64	648.695	
	918	1628.77	648.652	
	919	1625.39	648.594	
	920	1621.66	648.625	
	921	1622.46	647.809	
	922	1622.88	647.082	
	923	1623.66	646.547	
	924	1624.53	645.762	
	925	1624.96	644.98	
	926	1625.67	644.453	
	927	1626.59	643.703	
	928	1627.07	642.902	
	929	1627.7	642.313	
	930	1628.62	641.637	
	931	1629.18	640.836	
	932	1629.72	640.164	
	933	1630.64	639.559	
	934	1631.28	638.797	
	935	1631.75	638.039	
	936	1632.65	637.496	
	937	1633.35	636.715	
	938	1633.78	635.953	
	939	1634.65	635.383	
	940	1635.45	634.648	
	941	1635.85	633.879	
	942	1636.65	633.246	
	943	1637.52	632.582	
	944	1637.94	631.824	
	945	1638.65	631.113	
	946	1639.57	630.555	
	947	1640.03	629.77	
	948	1640.67	629.016	
	949	1641.62	628.484	
	950	1642.15	627.684	
	951	1642.7	626.938	
	952	1643.65	626.371	
	953	1644.26	625.59	
	954	1644.73	624.867	
	955	1645.65	624.262	
	956	1646.34	623.555	
	957	1646.78	622.816	
	958	1647.65	622.172	
	959	1648.42	621.555	
	960	1648.84	620.719	
	961	1649.65	620.109	
	962	1650.5	619.523	
	963	1650.93	618.609	
	964	1651.67	618.035	
	965	1652.58	617.441	
	966	1653.13	616.555	
	967	1653.73	615.91	
	968	1654.62	615.352	
	969	1655.25	614.555	
	970	1655.76	613.781	
	971	1656.65	613.266	
	972	1657.35	612.555	
	973	1657.8	611.668	
	974	1658.66	611.148	
	975	1659.45	610.52	
	976	1659.88	609.586	
	977	1660.66	609.02	
	978	1661.53	608.434	
	979	1661.94	607.555	
	980	1662.68	606.895	
	981	1663.6	606.293	
	982	1664.07	605.555	
	983	1664.71	604.754	
	984	1665.65	604.129	
	985	1666.23	603.555	
	986	1666.73	602.688	
	987	1667.65	602.02	
	988	1668.3	601.453	
	989	1668.75	600.664	
	990	1669.65	599.953	
	991	1670.37	599.316	
	992	1670.09	599.289	
	993	1669.86	599.258	
	994	1669.71	599.23	
	995	1669.65	599.211	
	996	1669.65	599.191	
	997	1669.65	599.176	
	998	1669.64	599.16	
	999	1669.49	599.145	
	1000	1669.25	599.125	
	1001	1668.97	599.105	
	1002	1668.79	599.09	
	1003	1668.68	599.074	
	1004	1668.65	599.066	
	1005	1668.65	599.051	
	1006	1668.65	599.031	
	1007	1668.57	599.008	
	1008	1668.36	598.98	
	1009	1668.09	598.953	
	1010	1667.87	598.934	
	1011	1667.73	598.918	
	1012	1667.66	598.906	
	1013	1667.65	598.895	
	1014	1667.65	598.875	
	1015	1667.64	598.855	
	1016	1667.48	598.832	
	1017	1667.24	598.805	
	1018	1666.99	598.793	
	1019	1666.8	598.781	
	1020	1666.7	598.777	
	1021	1666.65	598.773	
	1022	1666.65	598.77	
	1023	1666.65	598.75	
	1024	1666.59	598.727	
	1025	1666.4	598.703	
	1026	1666.14	598.691	
	1027	1665.9	598.68	
	1028	1665.74	598.672	
	1029	1665.67	598.664	
	1030	1665.65	598.652	
	1031	1665.65	598.629	
	1032	1665.64	598.594	
	1033	1665.51	598.555	
	1034	1665.28	598.555	
	1035	1665.01	598.555	
	1036	1664.8	598.555	
	1037	1664.69	598.555	
	1038	1664.65	598.555	
	1039	1664.65	598.555	
	1040	1664.65	598.555	
	1041	1664.59	598.555	
	1042	1664.39	598.555	
	1043	1664.12	598.551	
	1044	1663.88	598.516	
	1045	1663.72	598.477	
	1046	1663.65	598.438	
	1047	1663.65	598.398	
	1048	1663.65	598.367	
	1049	1663.65	598.34	
	1050	1663.5	598.324	
	1051	1663.25	598.305	
	1052	1662.65	598.219	
	1053	1661.97	598.156	
	1054	1661.65	598.098	
	1055	1660.72	598.043	
	1056	1660.57	597.996	
	1057	1659.65	597.957	
	1058	1659.39	597.898	
	1059	1658.65	597.859	
	1060	1658.18	597.793	
	1061	1657.65	597.746	
	1062	1657	597.652	
	1063	1656.62	597.586	
	1064	1655.86	597.555	
	1065	1655.57	597.441	
	1066	1654.72	597.32	
	1067	1654.46	597.207	
	1068	1653.65	597.113	
	1069	1653.23	597.07	
	1070	1652.65	597.02	
	1071	1652	596.973	
	1072	1651.65	596.941	
	1073	1650.8	596.855	
	1074	1650.42	596.801	
	1075	1649.65	596.352	
	1076	1649.12	596.254	
	1077	1648.64	596.156	
	1078	1647.99	596.082	
	1079	1647.59	596.023	
	1080	1646.91	595.973	
	1081	1646.5	595.945	
	1082	1645.83	595.898	
	1083	1645.34	595.871	
	1084	1644.75	595.813	
	1085	1644.14	595.266	
	1086	1643.64	595.164	
	1087	1643.04	595.117	
	1088	1642.61	595.051	
	1089	1642.01	595.008	
	1090	1641.55	594.969	
	1091	1640.97	594.918	
	1092	1640.39	594.891	
	1093	1639.81	594.238	
	1094	1639.11	594.301	
	1095	1638.66	594.117	
	1096	1637.95	593.953	
	1097	1637.54	593.781	
	1098	1636.75	593.609	
	1099	1636.41	593.48	
	1100	1635.71	593.375	
	1101	1635.37	593.297	
	1102	1634.75	593.133	
	1103	1634.24	592.977	
	1104	1633.63	592.785	
	1105	1632.97	592.613	
	1106	1632.54	592.473	
	1107	1631.94	592.363	
	1108	1631.54	592.215	
	1109	1630.91	592.07	
	1110	1630.45	591.875	
	1111	1629.77	591.719	
	1112	1629.26	591.539	
	1113	1628.75	591.426	
