Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Confidence
	Frame	percent	
	417	91.1273	
	418	90.5216	
	419	90.6691	
	420	91.0046	
	421	91.935	
	422	93.5134	
	423	95.1889	
	424	95.5692	
	425	97.1255	
	426	97.2268	
	427	97.3043	
	428	97.1993	
	429	97.1376	
	430	97.4594	
	431	97.5395	
	432	97.3325	
	433	97.7711	
	434	97.1669	
	435	96.8555	
	436	96.4477	
	437	96.3443	
	438	96.1225	
	439	96.2628	
	440	95.8124	
	441	95.3939	
	442	94.9103	
	443	95.0327	
	444	95.4413	
	445	95.57	
	446	94.7523	
	447	93.8399	
	448	92.9589	
	449	91.4999	
	450	90.2543	
	451	89.9701	
	452	89.5877	
	453	91.6867	
	454	93.4149	
	455	94.0051	
	456	96.2299	
	457	97.131	
	458	97.1623	
	459	97.5647	
	460	97.4526	
	461	95.9218	
	462	94.8769	
	463	95.0439	
	464	93.5686	
	465	92.7076	
	466	92.3922	
	467	91.5143	
	468	91.24	
	469	91.0373	
	470	90.9027	
	471	91.5076	
	472	90.8585	
	473	90.8774	
	474	90.7018	
	475	91.2399	
	476	91.6665	
	477	92.2521	
	478	92.4005	
	479	92.4407	
	480	91.9602	
	481	91.5601	
	482	92.3416	
	483	91.8897	
	484	91.345	
	485	92.6139	
	486	92.1905	
	487	92.7898	
	488	93.3633	
	489	92.9216	
	490	93.0906	
	491	92.5994	
	492	92.4072	
	493	93.8176	
	494	93.0604	
	495	93.1501	
	496	90.3618	
	497	90.675	
	498	89.8411	
	499	88.6169	
	500	87.8952	
	501	89.8577	
	502	89.8328	
	503	87.8461	
	504	86.3164	
	505	85.8092	
	506	83.5124	
	507	82.5685	
	508	81.3206	
	509	82.4463	
	510	82.0657	
	511	82.1085	
	512	90.6646	
	513	90.3585	
	514	89.1775	
	515	87.5271	
	516	88.1166	
	517	87.1834	
	518	87.114	
	519	88.2499	
	520	91.3991	
	521	92.5491	
	522	95.9029	
	523	96.368	
	524	95.8395	
	525	94.823	
	526	94.4403	
	527	94.6451	
	528	93.6447	
	529	93.4138	
	530	93.6785	
	531	91.9832	
	532	92.3002	
	533	92.8242	
	534	94.3454	
	535	94.2015	
	536	94.6608	
	537	94.6635	
	538	93.6385	
	539	92.3852	
	540	91.3943	
	541	88.4702	
	542	84.6523	
	543	92.8775	
	544	93.1943	
	545	93.3729	
	546	93.884	
	547	94.2153	
	548	93.8394	
	549	93.7889	
	550	93.6108	
	551	93.8774	
	552	94.3692	
	553	94.5049	
	554	94.5448	
	555	94.6419	
	556	94.7742	
	557	94.371	
	558	94.1292	
	559	94.3333	
	560	95.0554	
	561	94.8012	
	562	94.8038	
	563	95.1257	
	564	95.312	
	565	95.2467	
	566	95.1233	
	567	95.3113	
	568	95.0974	
	569	95.0742	
	570	94.8878	
	571	94.9493	
	572	95.3525	
	573	95.5079	
	574	95.603	
	575	96.0029	
	576	95.8743	
	577	95.8616	
	578	96.1906	
	579	96.3767	
	580	96.2776	
	581	96.4658	
	582	96.0916	
	583	96.2031	
	584	96.2253	
	585	95.8662	
	586	95.7665	
	587	95.9069	
	588	95.8379	
	589	95.9494	
	590	96.0939	
	591	95.6992	
	592	95.814	
	593	96.0916	
	594	96.1012	
	595	96.516	
	596	96.2071	
	597	96.7827	
	598	96.2492	
	599	96.1477	
	600	96.451	
	601	95.6362	
	602	96.4561	
	603	95.9236	
	604	96.3315	
	605	95.422	
	606	95.9288	
	607	95.963	
	608	95.2711	
