Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #2	Track Point #1	Feature Center
	Frame	X pixels	Y pixels
	4286	760.078	632.523
	4287	760.367	633.102
	4288	761.027	633.336
	4289	761.145	633.422
	4290	761.887	633.598
	4291	762.051	634.215
	4292	762.285	634.391
	4293	763	634.449
	4294	763.105	634.676
	4295	763.789	635.309
	4296	764.031	635.41
	4297	764.219	635.535
	4298	764.93	636.176
	4299	765.035	636.395
	4300	765.344	636.48
	4301	765.984	636.574
	4302	766.051	637.301
	4303	766.789	637.41
	4304	766.98	637.473
	4305	767.227	638.234
	4306	767.914	638.352
	4307	768.023	638.449
	4308	768.809	638.492
	4309	768.98	639.238
	4310	769.234	639.395
	4311	770	639.434
	4312	770.117	639.535
	4313	770.867	640.258
	4314	771.063	640.375
	4315	771.258	640.449
	4316	772.012	640.563
	4317	772.109	641.348
	4318	772.863	641.398
	4319	773.055	641.441
	4320	773.195	642.25
	4321	773.992	642.348
	4322	774.086	642.43
	4323	774.41	642.496
	4324	775.035	643.316
	4325	775.156	643.395
	4326	775.961	643.445
	4327	776.066	643.547
	4328	776.355	644.359
	4329	777.031	644.395
	4330	777.137	644.465
	4331	777.914	645.285
	4332	778.063	645.375
	4333	778.305	645.449
	4334	779.016	645.457
	4335	779.133	646.391
	4336	779.883	646.395
	4337	780.059	646.449
	4338	780.277	646.535
	4339	781.023	647.395
	4340	781.117	647.395
	4341	781.883	647.469
	4342	782.063	648.395
	4343	782.246	648.414
	4344	783.023	648.438
	4345	783.113	649.449
	4346	783.859	649.453
	4347	784.055	649.395
	4348	784.199	649.461
	4349	785.012	650.488
	4350	785.09	650.484
	4351	785.387	650.445
	4352	786.043	650.449
	4353	787.059	651.535
	4354	788.063	651.535
	4355	789.066	651.465
	4356	790.074	651.461
	4357	791.082	651.457
	4358	792.098	652.598
	4359	793.102	652.563
	4360	794.117	652.48
	4361	795.129	652.473
	4362	796.156	653.445
	4363	797.188	653.652
	4364	798.215	653.578
	4365	799.246	653.492
	4366	800.254	653.5
	4367	801.219	654.52
	4368	802.207	654.762
	4369	803.211	654.641
	4370	804.27	654.555
	4371	805.332	654.523
	4372	806.359	655.531
	4373	807.402	655.766
	4374	808.438	655.664
	4375	809.801	655.566
	4376	810.832	655.516
	4377	811.848	656.559
	4378	812.871	656.785
	4379	813.891	656.707
	4380	814.918	656.625
	4381	815.938	657.379
	4382	816.945	657.609
	4383	817.949	657.813
	4384	818.953	657.723
	4385	819.957	658.18
	4386	820.965	658.418
	4387	821.984	658.68
	4388	822.996	658.855
	4389	824.02	658.738
	4390	825.059	659.211
	4391	826.086	659.469
	4392	827.105	659.746
	4393	828.141	659.883
