Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	471	460.555	602.543	
	472	459.934	602.57	
	473	459.34	602.609	
	474	458.891	602.566	
	475	458.191	602.5	
	476	457.773	602.504	
	477	457.094	602.566	
	478	456.711	602.574	
	479	456.035	602.578	
	480	455.586	602.57	
	481	454.926	602.563	
	482	454.152	602.563	
	483	453.535	602.438	
	484	452.793	602.328	
	485	452.105	602.203	
	486	451.414	602.098	
	487	452.574	605.234	
	488	451.938	605.109	
	489	451.117	604.973	
	490	450.469	604.84	
	491	449.738	604.699	
	492	449.023	604.574	
	493	448.352	604.449	
	494	447.531	604.324	
	495	446.906	604.199	
	496	446.105	604.074	
	497	445.477	603.949	
	498	444.738	603.828	
	499	444.02	603.703	
	500	443.363	603.578	
	501	442.551	603.453	
	502	441.934	603.328	
	503	441.133	603.203	
	504	440.691	603.203	
	505	440.047	603.227	
	506	439.477	603.223	
	507	438.938	603.25	
	508	438.258	603.25	
	509	437.805	603.262	
	510	437.102	603.273	
	511	436.672	603.281	
	512	436.027	603.309	
	513	435.449	603.32	
	514	434.906	603.355	
	515	434.23	603.383	
	516	433.805	603.402	
	517	433.086	603.43	
	518	432.66	603.445	
	519	432.016	603.473	
	520	431.809	603.5	
	521	431.621	603.523	
	522	431.266	603.563	
	523	431.051	603.582	
	524	430.91	603.641	
	525	430.75	603.703	
	526	430.422	603.777	
	527	430.121	603.836	
	528	430.008	603.887	
	529	429.805	603.949	
	530	429.664	604.035	
	531	429.609	604.223	
	532	429.723	604.539	
	533	429.809	604.805	
	534	429.941	604.934	
	535	430.043	605.016	
	536	430.148	605.188	
	537	430.363	605.301	
	538	430.656	605.539	
	539	430.809	605.75	
	540	430.973	605.883	
	541	431.063	605.965	
	542	431.195	606.121	
	543	431.418	606.238	
	544	431.641	606.551	
	545	431.746	606.824	
	546	431.688	606.953	
	547	431.422	607.098	
	548	431.156	607.203	
	549	431.027	607.207	
	550	430.809	607.293	
	551	430.621	607.352	
	552	430.258	607.414	
	553	430.051	607.461	
	554	429.91	607.504	
	555	429.77	607.531	
	556	429.418	607.563	
	557	429.121	607.594	
	558	428.93	607.613	
	559	428.703	607.656	
	560	428.227	607.711	
	561	428.012	607.703	
	562	427.898	607.629	
	563	428.113	607.563	
	564	428.531	607.488	
	565	428.809	607.41	
	566	429.059	607.301	
	567	429.332	607.211	
	568	429.527	607.07	
	569	429.168	606.98	
	570	428.973	606.938	
	571	428.727	606.926	
	572	428.285	606.914	
	573	428.035	606.855	
	574	427.809	606.82	
	575	427.434	606.809	
	576	427.07	606.77	
	577	426.848	606.73	
	578	426.59	606.703	
	579	426.152	606.703	
	580	425.965	606.66	
	581	425.738	606.617	
	582	425.309	606.59	
	583	423.102	606.328	
	584	420.996	606.203	
	585	418.809	606.09	
	586	416.566	606.004	
	587	414.25	605.965	
	588	412.063	605.902	
	589	409.918	605.805	
	590	407.793	605.695	
	591	405.508	605.57	
	592	403.207	605.441	
	593	401.055	605.328	
	594	398.895	605.25	
	595	396.719	605.203	
	596	394.422	605.176	
	597	392.16	605.102	
	598	390.035	605.027	
	599	387.828	604.996	
	600	385.617	605.004	
	601	383.047	605.02	
	602	380.555	605.199	
	603	378.023	605.34	
	604	375.57	605.645	
	605	373.023	605.883	
	606	370.605	606.02	
	607	368.059	606.203	
	608	365.613	606.488	
	609	363.02	606.824	
	610	360.594	606.996	
	611	358.051	607.203	
	612	355.602	607.445	
	613	353	607.789	
	614	350.559	607.984	
	615	348.027	608.176	
	616	345.559	608.453	
	617	342.973	608.785	
	618	340.516	608.973	
	619	337.984	609.172	
	620	335.434	609.5	
	621	332.883	609.77	
	622	330.383	609.969	
	623	327.91	610.105	
	624	327.617	612.141	
	625	325.008	612.242	
	626	322.453	612.496	
	627	319.945	612.746	
	628	317.391	612.953	
	629	314.91	613.254	
	630	312.359	613.508	
	631	309.855	613.793	
	632	307.305	614.082	
	633	304.852	614.344	
	634	302.285	614.617	
	635	299.777	614.898	
	636	297.223	615.219	
	637	294.695	615.461	
	638	292.148	615.707	
	639	291.898	615.539	
	640	291.648	615.375	
	641	291.352	615.234	
	642	291.137	615.094	
	643	290.895	614.848	
	644	290.652	614.676	
	645	290.363	614.516	
	646	290.148	614.375	
	647	289.863	614.238	
	648	289.637	614.117	
	649	289.316	613.84	
	650	289.078	613.688	
	651	288.801	613.52	
	652	288.59	613.367	
	653	288.262	613.242	
	654	287.977	613.121	
	655	287.738	612.797	
	656	287.406	612.656	
	657	287.203	612.504	
	658	286.879	612.371	
	659	286.652	612.258	
	660	286.277	612.172	
	661	286.594	611.641	
	662	287.16	611.391	
	663	287.785	610.848	
	664	288.352	610.586	
	665	288.996	610.348	
	666	289.711	609.738	
	667	290.262	609.488	
	668	290.852	609.25	
	669	291.629	608.586	
	670	292.07	608.34	
	671	292.742	607.668	
	672	292.742	607.355	
	673	292.207	607.266	
	674	292.074	606.652	
	675	291.793	606.516	
	676	291.25	606.449	
	677	290.297	606.73	
	678	289.266	607.43	
	679	288.285	607.727	
	680	287.281	608.34	
	681	286.32	608.566	
	682	285.363	608.738	
	683	284.773	608.785	
	684	284.262	608.777	
	685	284.039	608.793	
	686	283.848	608.832	
	687	283.707	609.18	
	688	283.617	609.23	
	689	283.328	609.316	
	690	283.262	609.402	
	691	283.203	609.496	
	692	283.145	609.598	
	693	283.086	609.699	
	694	283.023	609.828	
	695	282.945	610.172	
	696	282.863	610.262	
	697	282.762	610.387	
	698	282.645	610.512	
	699	282.566	610.613	
	700	282.41	610.746	
	701	282.18	610.75	
	702	281.926	610.793	
	703	281.66	610.895	
	704	281.438	610.98	
	705	281.242	611.02	
	706	281.043	610.984	
	707	280.777	610.926	
	708	280.895	610.676	
	709	280.984	610.465	
	710	280.977	610.34	
	711	280.953	610.215	
	712	281.023	610.047	
	713	281.152	609.816	
	714	281.254	609.563	
	715	281.246	609.309	
	716	281.238	609.078	
	717	281.313	608.887	
	718	281.43	608.73	
	719	281.516	608.555	
	720	281.5	608.379	
	721	281.5	608.164	
	722	283.98	609.414	
	723	284.109	609.168	
	724	284.195	608.918	
	725	284.16	608.707	
	726	284.148	608.578	
	727	284.234	608.426	
	728	284.344	608.254	
	729	284.422	608.047	
	730	284.375	607.824	
	731	284.406	607.602	
	732	284.535	607.359	
	733	284.648	607.121	
	734	284.715	606.906	
	735	284.637	606.77	
	736	284.656	606.625	
	737	284.516	606.434	
	738	284.113	606.309	
	739	283.77	606.191	
	740	283.617	606.184	
	741	283.289	606.203	
	742	283.027	606.234	
	743	282.844	606.254	
	744	282.711	606.25	
	745	282.461	606.254	
	746	282.133	606.285	
	747	281.969	606.309	
	748	281.762	606.32	
	749	281.633	606.313	
	750	281.348	606.328	
	751	281.07	606.359	
	752	280.938	606.379	
	753	280.762	606.391	
	754	280.633	606.391	
	755	280.352	606.406	
	756	280.078	606.426	
	757	279.941	606.441	
	758	279.762	606.449	
	759	279.633	606.438	
	760	279.355	606.445	
	761	279.082	606.465	
	762	278.945	606.473	
	763	278.766	606.484	
	764	278.637	606.48	
	765	278.359	606.492	
	766	278.082	606.52	
	767	277.945	606.539	
	768	277.762	606.551	
	769	277.629	606.555	
	770	277.348	606.566	
	771	277.066	606.586	
	772	276.988	606.621	
	773	277.195	606.629	
	774	277.523	606.633	
	775	277.727	606.645	
	776	277.867	606.66	
	777	278.023	606.664	
	778	278.285	606.664	
	779	278.59	606.668	
	780	278.746	606.676	
	781	278.926	606.68	
	782	279.082	606.684	
	783	279.379	606.688	
	784	279.645	606.684	
	785	279.773	606.695	
	786	279.984	606.695	
	787	280.184	606.699	
	788	280.488	606.691	
	789	280.715	606.691	
	790	280.848	606.684	
	791	281.047	606.672	
	792	281.297	606.656	
	793	281.602	606.645	
	794	281.75	606.652	
	795	281.906	606.648	
	796	282.094	606.645	
	797	282.379	606.645	
	798	282.656	606.648	
	799	282.781	606.66	
	800	283.008	606.668	
	801	283.168	606.672	
	802	283.48	606.684	
	803	283.707	606.684	
	804	283.824	606.684	
	805	284.035	606.688	
	806	284.266	606.684	
	807	284.574	606.676	
	808	284.75	606.68	
	809	284.891	606.68	
	810	285.09	606.676	
	811	285.359	606.684	
	812	285.645	606.668	
	813	285.773	606.672	
	814	285.957	606.672	
	815	286.152	606.684	
	816	286.457	606.684	
	817	286.695	606.672	
	818	286.805	606.676	
