Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	433	1522.88	570.344	
	434	1522.93	570.563	
	435	1522.95	570.91	
	436	1522.95	571.094	
	437	1522.95	571.297	
	438	1522.95	571.457	
	439	1522.95	571.586	
	440	1522.95	571.719	
	441	1522.95	571.934	
	442	1522.97	572.086	
	443	1522.99	572.332	
	444	1523.03	572.441	
	445	1523.07	572.555	
	446	1523.14	572.73	
	447	1523.28	572.941	
	448	1523.46	573.184	
	449	1523.67	573.352	
	450	1523.81	573.48	
	451	1523.98	573.793	
	452	1524.02	573.848	
	453	1524.06	573.875	
	454	1524.14	573.91	
	455	1524.24	573.93	
	456	1524.38	573.953	
	457	1524.51	573.973	
	458	1524.61	573.988	
	459	1524.69	573.996	
	460	1524.74	574	
	461	1524.76	573.992	
	462	1524.78	573.996	
	463	1524.79	573.996	
	464	1524.81	573.969	
	465	1524.84	573.957	
	466	1524.86	573.926	
	467	1524.87	573.883	
	468	1524.86	573.848	
	469	1524.87	573.816	
	470	1524.86	573.77	
	471	1524.84	573.742	
	472	1524.82	573.719	
	473	1524.82	573.676	
	474	1524.81	573.652	
	475	1524.8	573.617	
	476	1524.78	573.605	
	477	1524.76	573.582	
	478	1524.73	573.555	
	479	1524.7	573.547	
	480	1524.66	573.523	
	481	1524.61	573.512	
	482	1524.56	573.504	
	483	1524.5	573.484	
	484	1524.43	573.473	
	485	1524.38	573.457	
	486	1524.32	573.441	
	487	1524.27	573.426	
	488	1524.25	573.406	
	489	1524.22	573.379	
	490	1524.21	573.363	
	491	1524.22	573.332	
	492	1524.24	573.316	
	493	1524.27	573.285	
	494	1524.32	573.266	
	495	1524.38	573.23	
	496	1524.46	573.207	
	497	1524.54	573.191	
	498	1524.61	573.004	
	499	1524.66	572.977	
	500	1524.73	572.984	
	501	1524.76	572.973	
	502	1524.77	572.988	
	503	1524.79	573.207	
	504	1524.8	573.211	
	505	1524.85	573.215	
	506	1524.89	573.215	
	507	1524.99	573.203	
	508	1525.03	573.207	
	509	1525.1	573.207	
	510	1525.19	573.207	
	511	1525.32	573.211	
	512	1525.45	573.215	
	513	1525.56	573.246	
	514	1525.65	573.258	
	515	1525.71	573.27	
	516	1525.75	573.289	
	517	1525.77	573.316	
	518	1525.78	573.324	
	519	1525.8	573.336	
	520	1525.85	573.359	
	521	1525.9	573.371	
	522	1526.02	573.383	
	523	1526.07	573.398	
	524	1526.53	573.359	
	525	1526.77	573.344	
	526	1526.9	573.332	
	527	1527.26	573.258	
	528	1527.69	573.277	
	529	1527.79	573.297	
	530	1528.06	573.305	
	531	1528.48	573.273	
	532	1528.75	573.277	
	533	1528.85	573.285	
	534	1529.23	573.262	
	535	1529.66	573.25	
	536	1529.78	573.266	
	537	1530.08	573.27	
	538	1530.48	573.246	
	539	1530.77	573.254	
	540	1530.86	573.266	
	541	1531.23	573.238	
	542	1531.67	573.23	
	543	1531.81	573.246	
	544	1532.07	573.242	
	545	1532.48	573.223	
	546	1532.79	573.254	
	547	1533	573.27	
	548	1533.23	573.25	
	549	1533.68	573.254	
	550	1533.82	573.277	
	551	1534.04	573.285	
	552	1534.45	573.297	
	553	1534.77	573.313	
	554	1534.89	573.332	
	555	1535.18	573.324	
	556	1535.65	573.344	
	557	1535.8	573.367	
	558	1536.02	573.375	
	559	1536.42	573.367	
	560	1536.75	573.395	
	561	1536.86	573.41	
	562	1537.16	573.41	
	563	1537.63	573.414	
	564	1537.79	573.434	
	565	1538.02	573.438	
	566	1538.43	573.43	
	567	1538.74	573.453	
	568	1538.86	573.457	
	569	1539.16	573.477	
	570	1539.63	573.488	
	571	1539.77	573.535	
	572	1539.92	573.563	
	573	1540.36	573.594	
	574	1540.7	573.633	
	575	1540.8	573.66	
	576	1541.08	573.711	
	577	1541.56	573.762	
	578	1541.73	573.805	
	579	1541.86	573.855	
	580	1542.36	573.891	
	581	1542.69	573.957	
	582	1542.8	574.238	
	583	1543.12	574.289	
	584	1543.57	574.332	
	585	1543.77	574.457	
	586	1544.02	574.574	
	587	1544.45	574.637	
	588	1544.79	574.637	
	589	1545.05	574.707	
	590	1545.29	574.773	
	591	1545.63	575.254	
	592	1545.77	575.336	
	593	1546.09	575.422	
	594	1546.33	575.52	
	595	1546.64	575.691	
	596	1546.73	575.887	
	597	1546.72	576.395	
	598	1546.54	576.563	
	599	1546.24	576.715	
	600	1546.09	576.855	
	601	1545.53	577.258	
	602	1544.77	577.332	
	603	1544.17	577.359	
	604	1543.67	577.371	
	605	1542.84	577.406	
	606	1542.31	577.418	
	607	1541.75	577.422	
	608	1541.04	577.387	
	609	1540.56	577.316	
	610	1539.83	577.242	
	611	1539.11	576.992	
	612	1538.64	576.969	
	613	1537.83	576.898	
	614	1537.13	576.867	
	615	1536.78	576.793	
	616	1535.88	576.746	
	617	1535.33	576.715	
	618	1534.83	576.66	
	619	1533.92	576.621	
	620	1533.51	576.566	
	621	1532.83	576.512	
	622	1531.98	576.469	
	623	1531.64	576.449	
	624	1530.83	576.398	
	625	1530.06	576.34	
	626	1529.77	576.285	
	627	1528.83	576.23	
	628	1528.19	576.141	
	629	1527.83	576.063	
	630	1526.86	576.012	
	631	1526.37	575.957	
	632	1525.8	575.953	
	633	1524.87	575.926	
	634	1524.46	575.863	
	635	1523.81	575.77	
	636	1522.98	575.738	
	637	1522.66	575.699	
	638	1521.83	575.648	
	639	1521.05	575.637	
	640	1520.72	575.609	
	641	1519.83	575.582	
	642	1519.22	575.586	
	643	1518.8	575.555	
	644	1517.83	575.527	
	645	1517.43	575.516	
	646	1516.83	575.473	
	647	1515.88	575.453	
	648	1515.59	575.422	
	649	1514.83	575.375	
	650	1513.93	575.375	
	651	1513.75	575.367	
	652	1512.83	575.301	
	653	1512.33	575.254	
	654	1511.83	575.223	
	655	1510.83	575.207	
	656	1510.59	575.176	
	657	1509.83	575.16	
	658	1508.99	575.16	
	659	1508.79	575.164	
	660	1507.83	575.172	
	661	1507.23	575.168	
	662	1506.83	575.172	
	663	1505.83	575.191	
	664	1505.53	575.203	
	665	1504.83	575.238	
	666	1503.95	575.289	
	667	1503.73	575.316	
	668	1502.83	575.328	
	669	1502.21	575.367	
	670	1501.83	575.414	
	671	1500.84	575.469	
	672	1500.63	575.5	
	673	1499.83	575.512	
	674	1499.08	575.539	
	675	1498.82	575.559	
	676	1497.83	575.586	
	677	1497.55	575.652	
	678	1496.83	575.688	
	679	1496.1	576.023	
	680	1495.83	576.168	
	681	1495.5	576.32	
	682	1494.88	576.43	
	683	1494.83	576.5	
	684	1494.8	576.535	
