Adobe After Effects 8.0 Keyframe Data

	Units Per Second	59.94
	Source Width	7680
	Source Height	3840
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Spider	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	11458	774.199	92.0781	
	11459	740.199	89.8867	
	11460	706.199	87.6758	
	11461	674.309	85.5234	
	11462	643.281	83.4179	
	11463	613.035	81.3359	
	11464	583.512	79.3437	
	11465	554.863	77.3593	
	11466	527.074	75.4922	
	11467	500.055	73.6289	
	11468	473.785	71.7812	
	11469	448.488	69.957	
	11470	424.043	68.0937	
	11471	400.426	66.3711	
	11472	377.594	64.7539	
	11473	355.785	63.0273	
	11474	334.906	61.3711	
	11475	314.945	59.8281	
	11476	295.894	58.207	
	11477	277.762	56.7929	
	11478	260.594	55.2187	
	11479	182.484	51.8593	
	11480	167.137	50.4922	
	11481	152.941	49.0664	
	11482	139.461	47.7734	
	11483	127.059	46.5039	
	11484	115.84	45.2031	
	11485	105.359	43.9883	
	11486	96.0195	42.8476	
	11487	87.8671	41.6992	
	11488	80.5351	40.582	
	11489	74.3671	39.5312	
	11490	69.3163	38.5234	
	11491	65.3593	37.5351	
	11492	62.5078	36.5898	
	11493	60.9218	35.7187	
	11494	60.2226	34.8593	
	11495	60.7226	12.3593	
	11496	1355	38.5	
	11502	7582	53	
	11503	7575.34	52.6328	
	11504	7567.81	52.1523	
	11505	7559.42	52.0391	
	11506	7550.12	51.957	
	11507	7540.09	51.8125	
	11508	7529.35	51.7305	
	11509	7517.79	51.7227	
	11510	7505.37	51.793	
	11511	7492.15	51.9258	
	11512	7478.24	52.0234	
	11513	7463.7	52.0977	
	11514	7448.06	52.5117	
	11515	7431.88	52.9492	
	11516	7414.9	53.1328	
	11517	7397.18	53.7969	
	11518	7378.83	54.1133	
	11519	7359.77	54.918	
	11520	7339.87	55.4258	
	11521	7319.41	56.0625	
	11522	7298.16	56.9883	
	11523	7276.39	57.7852	
	11524	7253.87	58.6328	
	11525	7230.79	59.5078	
	11526	7206.93	60.4844	
	11527	7182.68	61.5508	
	11528	7157.65	62.6953	
	11529	7131.89	63.875	
	11530	7105.77	65.0195	
	11531	7078.87	66.1563	
	11532	7051.56	67.6875	
	11533	7023.61	69.0234	
	11534	6994.97	70.4375	
	11535	6965.9	72.0117	
	11536	6936.32	73.5898	
	11537	6906.13	75.082	
	11538	6875.63	76.9648	
	11539	6844.38	78.6953	
	11540	6812.77	80.4023	
	11541	6780.64	82.1914	
	11542	6747.88	84.1328	
	11543	6714.81	86.1289	
	11544	6681.14	88.1992	
	11545	6647.11	90.4102	
	11546	6612.77	92.7031	
	11547	6577.82	94.9766	
	11548	6542.57	97.082	
	11549	6506.8	99.6445	
	11550	6470.73	102.035	
	11551	6434.01	104.602	
	11552	6397.13	107.066	
	11553	6359.88	109.871	
	11554	6322.2	112.508	
	11555	6284.21	115.152	
	11556	6245.89	118.063	
	11557	6207.18	121.051	
	11558	6168.16	124.051	
	11559	6128.89	127.059	
	11560	6089.22	130.129	
	11561	6049.35	133.438	
	11562	6009.06	136.84	
	11563	5968.76	140.055	
	11564	5927.91	143.574	
	11565	5886.9	147.047	
	11566	5845.77	150.707	
	11567	5804.13	154.176	
	11568	5762.57	158.035	
	11569	5720.67	161.965	
	11570	5678.5	165.875	
	11571	5636.04	169.867	
	11572	5593.71	173.949	
	11573	5550.9	178.023	
	11574	5508	182.133	
	11575	5465	186.648	
	11576	5421.89	191.027	
	11577	5378.73	195.555	
