---,ra,dec,dist,mag,spect,ci,x,y,z,lum,proper,hip,bf,gl
27694,7.642673,73.595818,99.900101,7.58,F5,0.472,-11.762363,25.644039,95.833504,64.565422,,37205,,
27695,7.647593,-5.465566,53.8503,7.58,G0,0.604,-22.411774,48.69558,-5.129107,8.076069,,37233,,
27696,7.659851,84.19738,591.716003,7.58,K0,1.609,-25.185591,54.263554,588.683594,2.346389,,37311,,
27697,7.694891,37.430061,167.785202,7.58,A3,0.341,-57.199295,120.334869,101.978592,283.400085,,37483,,
27698,7.765894,-18.904528,285.714294,7.58,K4III,1.486,-120.55957,241.927658,-92.569199,22.782427,,37892,,
27699,7.771957,-46.159641,420.168091,7.58,B6V,-0.06,-130.21759,260.272766,-303.055786,66.069344,,37926,,
27700,7.786399,-43.394539,917.431213,7.58,B9III/IV,-0.05,-300.532349,595.05658,-630.291992,142.823608,,37993,,
27701,7.892671,-36.936066,115.473396,7.58,A7IV,0.218,-43.885357,81.198006,-69.390678,681.082947,,38544,,
27702,7.941751,-23.004305,264.550293,7.58,B8/B9V,-0.025,-118.526047,212.719788,-103.38633,10.784499,,38804,,
27703,8.100952,-64.376877,217.391296,7.58,F5IV/V,0.45,-49.140392,80.145195,-196.012619,56.650013,,39642,,
27704,8.10252,15.346688,67.2948,7.58,F5,0.493,-33.944141,55.309883,17.810171,38.229622,,39650,,
27705,8.127578,-54.064926,221.729507,7.58,G8III,1.01,-68.789803,110.456932,-179.530502,3.664376,,39766,,
27706,8.134152,50.136768,313.479614,7.58,K0,0.987,-106.511597,170.37294,240.619614,39.774067,,39806,,
27707,8.14099,5.366701,173.611099,7.58,K0,1.118,-91.890228,146.401276,16.237795,79.50602,,39848,,
27708,8.260425,-49.992916,704.225403,7.58,B7/B8III,-0.022,-252.552002,375.746735,-539.411987,24.389338,,40455,,
27709,8.300315,-14.974939,195.3125,7.58,B9.5V,-0.03,-106.882202,155.487076,-50.468132,401.420929,,40661,,
27710,8.305593,-26.344715,346.020813,7.58,K3III,1.42,-176.00705,255.290253,-153.553894,30.874504,,40682,,
27711,8.370115,-47.782703,581.395325,7.58,B9IV/V,-0.066,-227.147339,317.841766,-430.582397,96.917007,,41013,,
27712,8.407738,-8.520186,100000,7.58,Mb,1.305,-58291.78516,79890.92969,-14815.78418,273.40094,,41201,,
27713,8.441394,-2.738426,143.472,7.58,K0,1.109,-85.485863,115.019112,-6.85457,8090959,,41379,,
27714,8.537759,-76.928802,37.636398,7.58,G0V,0.607,-5.2481,6.701613,-36.661617,16.657124,,41871,,
27715,8.564944,1.585464,273.972595,7.58,A0,0.142,-170.389999,214.407959,7.580283,1.146041,,42017,,
27716,8.763907,20.022276,54.288799,7.58,F8,0.518,-33.771023,38.226814,18.587696,60.757515,,43004,,
27717,8.840691,-51.897411,300.300293,7.58,K2III,1.28,-125.454369,136.381042,-236.308456,2.385613,,43402,,
27718,8.848123,-43.751507,100000,7.58,B1.5Iab,0.716,-49006.80469,53067.57422,-69153.20313,72.979355,,43443,,
27719,8.899052,-52.47271,377.35849,7.58,B4III,-0.092,-158.186386,166.776703,-299.269165,8090959,,43689,,
27720,8.995645,-54.236942,182.481796,7.58,A4mA7-A9,0.282,-75.325966,75.49794,-148.073181,115.239136,,44166,,
27721,8.999357,-2.548208,306.748505,7.58,K2,1.382,-216.652985,216.725937,-13.638027,26.940149,,44179,,
27722,9.076623,10.850168,190.476196,7.58,K2,1.298,-134.905884,129.599258,35.855492,76.137741,,44548,,
27723,9.10433,17.111898,202.020203,7.58,G5,1.034,-140.203751,132.746674,59.442169,29.349453,,44674,,
27724,9.130189,-28.197836,232.0186,7.58,G8III,1.008,-149.434494,139.580093,-109.632835,33.021744,,44802,,
27725,9.142831,16.701681,243.902405,7.58,K0,1.05,-171.249451,158.898483,70.094772,43.571247,,44870,,
27726,9.305969,-59.646317,123.304604,7.58,A0/A1V,0.068,-47.444279,40.393242,-106.402306,48.128242,,45654,,
27727,9.505377,-44.85984,117.9245,7.58,F6IV/V,0.491,-66.387138,50.79232,-83.180984,12.302688,,46615,,
27728,9.729041,-41.240566,229.885101,7.58,K2III,1.271,-143.200134,96.824036,-151.545319,11.25123,,47724,,
27729,9.779819,-11.938884,270.270294,7.58,K0,1.315,-221.000671,145.185318,-55.910332,42.775982,,47980,,
27730,9.825994,-52.127319,375.939789,7.58,B9II/III,-0.11,-194.409973,124.378708,-296.758209,59.101704,,48199,,
27731,9.830143,11.106413,41.1353,7.58,F8,0.61,-34.025585,21.716675,7.924042,114.393143,,48215,,
27732,10.042402,-48.862057,282.485901,7.58,B2V,-0.123,-161.963837,91.127853,-212.748016,1.368989,,49201,,
27733,10.051526,46.197086,219.298203,7.58,K0,1.039,-132.469116,74.116722,158.27301,64.565422,,49239,,
27734,10.331319,-57.507107,724.637695,7.58,F3II,0.566,-352.713196,164.699432,-611.201538,38.904514,,50576,,
27735,10.418523,65.90918,196.850403,7.58,K0,1.042,-73.562096,32.325508,179.704651,425.010834,,51002,,
27736,10.476098,-6.303298,256.410309,7.58,A0,-0.037,-234.84523,99.002251,-28.151676,31.361729,,51287,,
27737,10.594129,-13.000271,230.414703,7.58,K0III,1.024,-209.473251,80.778847,-51.833092,53.210827,,51853,,
27738,10.635058,-63.055206,100000,7.58,A3II,0.38,-42450.75,15849.85938,-89144.35156,42.973427,,52044,,
27739,10.983863,75.72126,81.632698,7.58,F5,0.442,-19.425531,5.293529,79.110977,8090959,,53683,,
27740,11.024727,-16.946157,69.881203,7.58,F7/F8V,0.543,-64.679581,16.882853,-20.36841,5.39014,,53886,,
27741,11.098333,53.850811,374.531799,7.58,M0,1.634,-214.805542,51.669575,302.428345,3.951846,,54251,,
27742,11.110461,-67.924065,211.416504,7.58,A1V,0.078,-77.312805,18.337496,-195.916824,113.448822,,54310,,
27743,11.120199,-33.555016,242.130798,7.58,K3III,1.498,-196.452148,46.066635,-133.834763,36.17429,,54354,,
27744,11.331927,-58.154697,100000,7.58,B7II,-0.09,-51957.79688,9181.304688,-84947.57813,47.424198,,55336,,
27745,11.34889,2.422491,65.573799,7.58,F2,0.403,-64.565674,11.113735,2.771663,8090959,,55416,,
27746,11.406725,-22.087276,263.852203,7.58,K4III,1.488,-241.545547,37.821297,-99.21331,3.480166,,55670,,
27747,11.446188,3.006328,17.956499,7.58,K2V,1.002,-17.743656,2.59079,0.941752,56.337814,,55848,,
27748,11.47252,-71.117653,66.489403,7.58,F5V,0.46,-21.312826,2.962164,-62.911282,0.260855,,55980,,Gl 429B
27749,11.51744,-37.749138,609.756104,7.58,K3III,1.494,-478.291046,60.747883,-373.295959,3.577668,,56189,,
27750,11.686341,-16.683134,196.0784,7.58,K2III,1.27,-187.191986,15.406074,-56.289906,300.884613,,57005,,
27751,11.749333,-51.571186,100000,7.58,A1III/IV,0.129,-62020.39453,4075.922363,-78338.10156,31.102837,,57299,,
27752,11.793768,-66.00721,675.67572,7.58,A0II,0.164,-274.344086,14.826761,-617.295044,8090959,,57542,,
27753,11.975995,-15.116961,78.247299,7.58,F3V,0.437,-75.538101,0.474726,-20.406137,369.487701,,58408,,
27754,11.987554,61.334381,142.045502,7.58,A3,0.191,-68.138451,0.222184,124.635574,4.952221,,58458,,
27860,0.071106,65.152985,323.624603,7.59,K5,1.68,135.962463,2.531402,293.667633,2.92146,,336,,
27861,0.090407,-3.851673,282.485901,7.59,K0,1.045,281.76889,6.670292,-18.975639,83.945999,,453,,
27862,0.140485,6.616805,39.077801,7.59,G2V,0.626,38.791218,1.427339,4.502872,63.973484,,682,,
27863,0.141017,-24.093733,123.152702,7.59,F3/F5V,0.508,112.346863,4.149539,-50.274693,1.224616,,688,,
27864,0.158617,19.559093,152.671799,7.59,G8IV,1.005,143.738129,5.972271,51.111305,12.15626,,773,,
27865,0.268171,8.115541,113.250298,7.59,A5,0.323,111.839943,7.86489,15.987518,18.6896,,1286,,
27866,0.395171,-62.425068,93.370697,7.59,G8IV,0.85,42.990925,4.464035,-82.764366,10.280163,,1877,,
27867,0.403326,-54.566654,105.263199,7.59,F2V,0.407,60.687023,6.43194,-85.767456,6.988758,,1912,,
